h,p1,p2,p3
0.049932,0.196199,0.187707,0.192456
0.141180,0.560334,0.530930,0.577945
0.913031,3.547039,3.874131,3.566819
1.093637,4.670684,3.950131,4.645236
1.661272,6.277652,7.273146,7.171237
3.624861,15.775701,14.068987,15.426168
4.032482,16.767783,16.947008,17.658178
4.250714,18.042570,17.118080,16.678498
4.875576,18.136630,19.329691,18.401925
6.088597,24.744785,22.746466,22.445222
9.602248,37.417542,35.088121,34.748649
10.035888,39.297119,41.240388,40.338300
10.452520,39.626886,44.377888,40.713840
10.481946,39.795751,39.427448,42.345483
10.822528,44.939463,45.371759,41.828790
11.569609,48.602001,49.421002,42.908949
12.334063,53.390793,47.746862,46.949651
12.959138,47.845502,54.245413,54.064298
14.422266,56.994099,59.480047,60.958941
17.492100,69.014920,74.581125,68.034573
17.981319,78.336610,68.189151,75.391291
18.755133,78.381981,69.517353,78.555133
19.047697,72.103361,77.393672,81.748728
20.366922,76.840793,84.787783,86.341778
23.067483,95.663609,99.634741,87.847719
23.240658,99.171921,92.543822,101.103875
24.655419,95.109064,93.691074,100.208127
25.043780,108.285545,94.775678,90.218298
26.374133,98.941293,100.845653,100.237459
26.769737,111.373057,99.324055,109.743478
26.772322,99.746607,100.613252,98.530511
27.067196,109.890066,119.048087,116.510935
28.247690,114.368918,119.289241,102.304873
28.642185,124.212106,116.537663,113.620222
31.496408,120.900830,131.293339,116.107435
31.982666,127.879163,130.572299,131.147564
33.111762,121.279171,120.113602,131.114341
34.355644,125.286768,136.671883,144.349496
34.790331,126.059745,147.824782,132.356239
35.785156,140.373228,151.040668,131.705751
37.458429,160.217563,151.163621,160.654964
37.928632,156.627204,147.679349,150.296704
39.721063,173.782204,171.659043,172.123590
41.643937,179.195933,172.347010,181.489268
42.300531,156.605007,165.630186,178.604017
43.430193,170.765540,158.619790,157.279655
47.398594,186.404993,200.238183,206.501188
47.724599,203.733090,185.366594,179.715886
47.817127,204.484496,202.495723,172.331808
48.027619,192.412101,206.279699,201.373067
48.826644,177.512226,190.514951,201.130324
49.299424,211.827328,203.276358,187.960828
52.104066,210.758777,218.292594,191.446215
52.142947,213.806118,218.867125,202.662066
53.212175,197.239640,215.992361,221.640417
54.504915,224.322887,220.146996,227.662649
55.278452,238.696786,226.316743,234.092386
55.305488,225.883993,224.599702,205.332899
56.091869,207.254009,215.746382,202.673678
56.167207,204.729897,216.242605,223.984548
56.348567,232.585118,240.237360,246.246572
56.379584,220.521441,228.468731,231.747763
57.392164,230.836225,207.971598,209.124592
60.277349,226.054012,258.425060,255.061088
61.931665,242.885050,265.902696,226.184565
63.205597,248.028617,237.769008,229.041938
63.652389,277.614744,236.659121,271.875765
66.299178,282.031280,289.222494,267.309998
67.249607,289.398388,266.576907,251.954574
67.298164,263.458986,246.531934,258.722055
69.744554,298.690795,294.848200,273.055922
69.760584,273.324355,299.990792,296.395633
71.668698,279.904239,260.280781,276.410599
71.686355,291.423302,301.449044,290.537597
75.690269,288.668723,293.882926,309.836905
79.459812,314.371188,333.854133,347.408133
79.629445,308.280816,314.401765,321.353537
80.010133,335.289807,347.881948,348.799072
80.410612,324.765207,328.408955,320.749797
81.834847,341.517372,358.659400,295.042067
83.037712,362.599102,344.889181,301.405945
84.658452,341.689789,306.863638,318.253142
85.709400,329.388281,370.191938,329.439166
85.970707,350.996065,315.850234,371.911395
87.153608,369.587232,322.949477,382.816501
88.351375,340.660590,379.037444,369.511053
89.467319,384.559285,348.019397,357.951639
90.523925,358.760503,347.363928,386.906841
92.629099,355.066098,357.572391,363.760323
93.740193,407.631276,345.691189,408.661460
94.468092,381.967904,410.552443,340.129353
96.145283,415.519141,409.792458,418.384232
96.573020,354.554374,378.851115,364.829722
97.089370,404.316874,413.689272,355.404488
97.169532,362.355950,393.974083,422.498388
97.252983,417.474419,387.274184,418.045115
97.960874,395.805214,382.839222,374.246981
98.476252,375.103335,406.672300,369.685730
98.915110,392.460265,358.656764,414.427542
99.267371,404.420831,402.143805,418.501915
